text,size,bold,is_caps,length,section_number_pattern,y0,x0,keyword,label
Structure and Course Duration,9.96,0,0,29,0,260.81,110.91,0,3
8,9.96,0,0,1,0,260.81,535.19,0,0
2.6,9.96,0,0,3,0,272.33,80.91,0,0
Keeping It Current,9.96,0,0,18,0,272.33,110.91,0,3
9,9.96,0,0,1,0,272.33,535.19,0,0
3.,9.96,1,0,2,0,289.73,70.95,0,0
Overview of the Foundation Level Extension –,9.96,1,0,44,0,289.73,90.99,0,2
Agile Tester Syllabus,9.96,1,0,21,0,289.73,312.89,0,2
10,9.96,1,0,2,0,289.73,529.54,0,0
3.1,9.96,0,0,3,0,307.37,80.90,0,0
Business Outcomes,9.96,0,0,17,0,307.37,110.90,0,3
10,9.96,0,0,2,0,307.37,529.54,0,0
3.2,9.96,0,0,3,0,318.78,80.90,0,0
Content,9.96,0,0,7,0,318.78,110.90,0,3
10,9.96,0,0,2,0,318.78,529.54,0,0
4.,9.96,1,0,2,0,336.18,70.94,0,0
References,9.96,1,0,10,0,336.18,90.98,1,2
12,9.96,1,0,2,0,336.18,529.54,0,0
4.1,9.96,0,0,3,0,353.82,80.90,0,0
Trademarks,9.96,0,0,10,0,353.82,110.90,0,3
12,9.96,0,0,2,0,353.82,529.55,0,0
4.2,9.96,0,0,3,0,365.34,80.91,0,0
Documents and Web Sites,9.96,0,0,23,0,365.34,110.91,0,3
12,9.96,0,0,2,0,365.34,529.55,0,0 
